43	95	52	59	43	70	9	3	66	14
87	81	75	78	100	71	35	61	98	30
56	48	60	81	87	25	10	29	62	14
64	66	81	70	38	14	62	82	33	67
10	90	78	94	22	90	98	18	20	55
7	56	58	27	25	8	72	53	53	25
37	63	77	51	43	60	16	84	45	7
53	43	100	56	52	57	59	41	14	33
20	78	54	12	38	55	97	99	31	54
97	5	20	4	55	29	98	61	79	42
51	3	58	53	43	98	90	2	37	59
98	17	15	64	36	34	51	34	15	58
0	91	90	27	77	77	67	54	87	83
3	99	5	91	27	86	52	74	18	32
7	53	7	56	99	23	91	90	100	87
4	18	54	51	79	99	48	60	87	28
98	14	19	51	13	3	31	78	1	52
60	100	66	8	64	55	78	54	22	8
16	89	70	31	97	65	53	68	86	31
48	87	95	20	94	29	0	9	52	53
99	51	43	82	47	36	71	38	99	78
66	43	68	37	54	70	12	96	18	92
57	55	95	36	13	67	100	28	20	71
7	29	85	35	33	7	16	83	79	85
27	90	47	17	47	15	51	73	3	56
71	56	57	55	56	59	19	23	82	44
78	71	80	31	17	60	53	86	9	98
43	27	61	60	87	44	14	7	54	20
32	84	80	43	17	88	87	53	10	19
13	24	37	77	71	7	39	13	84	92
9	17	35	7	38	13	63	22	16	50
75	24	34	85	40	26	51	15	46	97
83	60	35	56	32	48	10	51	36	41
27	66	18	63	83	29	90	42	25	73
99	25	6	45	55	60	33	89	11	80
68	40	56	95	63	84	79	18	79	10
89	94	83	79	39	67	96	65	58	54
21	87	52	12	66	63	6	47	74	52
30	95	60	51	76	9	59	6	39	48
30	93	94	1	24	92	70	50	83	22
26	76	40	96	88	47	85	7	51	0
3	33	10	37	82	25	88	4	19	37
27	51	98	21	57	83	2	77	78	54
65	57	23	63	63	18	64	78	51	4
24	73	17	3	84	89	34	1	34	90
31	39	75	85	46	31	80	91	7	57
12	10	26	99	30	36	59	6	0	50
93	44	80	84	32	40	47	57	90	90
68	2	67	69	5	20	74	76	34	95
99	3	31	82	23	82	27	23	33	94
20	2	77	90	30	20	89	96	75	8
44	97	52	29	78	57	86	75	90	38
15	64	15	85	18	38	24	43	21	67
28	12	10	90	60	94	56	56	69	87
59	56	82	50	68	24	17	94	85	75
8	79	97	100	97	15	3	68	13	57
52	5	48	20	14	54	45	65	27	18
37	13	35	80	8	73	37	1	46	55
17	94	36	17	36	42	71	7	20	38
5	4	74	61	61	73	47	24	56	6
68	31	91	37	74	5	83	62	71	41
4	29	11	73	22	8	87	95	28	11
96	51	91	13	4	52	4	98	71	47
94	56	49	100	13	56	63	53	0	41
44	93	5	97	60	68	80	50	90	32
26	39	60	12	63	30	49	86	82	76
44	8	93	77	44	46	50	60	76	54
26	37	58	5	45	71	3	35	89	33
46	71	47	49	33	3	23	39	69	71
29	84	32	8	28	66	32	65	49	38
32	49	45	52	17	83	55	78	1	83
40	53	51	2	73	84	2	11	86	60
13	41	80	8	35	50	31	7	50	96
10	28	89	49	61	3	95	95	21	26
6	43	3	68	40	78	23	35	16	71
26	34	12	59	36	85	19	64	25	40
42	94	36	35	18	35	45	76	51	38
62	31	35	99	49	90	15	51	34	15
1	56	81	15	78	46	6	36	54	82
34	12	7	7	92	85	72	66	26	22
36	96	62	34	3	46	72	83	92	92
46	57	42	45	14	96	29	93	90	57
19	23	89	40	26	27	71	51	12	18
42	86	62	25	47	29	51	4	94	34
44	23	67	73	96	31	11	61	75	68
83	89	79	94	55	55	77	81	99	73
37	77	75	5	8	95	0	38	34	45
7	85	8	79	59	13	2	63	12	38
36	76	88	90	47	100	19	86	90	35
23	47	89	94	18	94	73	27	71	89
99	17	56	18	91	27	66	68	86	76
9	76	51	89	56	61	1	96	86	73
100	45	85	6	55	58	61	78	91	48
73	91	41	79	38	13	88	17	49	53
95	54	35	71	23	84	23	60	97	25
99	31	30	50	3	2	58	85	81	7
10	72	67	97	65	55	99	24	62	96
82	83	90	41	36	26	7	69	27	90
42	32	14	4	76	39	41	92	59	61
79	59	19	25	22	21	18	36	25	71
